Iteration	Replicate_ID	Posterior	Likelihood	Prior	clock_rate[1]	clock_rate[2]	clock_rate[3]	clock_rate[4]	extinction	kappa[1]	kappa[2]	kappa[3]	kappa[4]	Ne[1]	Ne[2]	Ne[3]	Ne[4]	Ne[5]	Ne[6]	Ne[7]	Ne[8]	Ne[9]	Ne[10]	Ne[11]	Ne[12]	Ne[13]	Ne[14]	Ne[15]	Ne[16]	Ne[17]	Ne[18]	Ne[19]	relativeExtinction	root	speciation
60	0	-3068.38	-2864.11	-204.27	0.000152246	0.000399568	0.000633227	0.000987272	0.5806899	0.786113	5.45005	1.40859	0.844333	10	10	10	10	10	10	10	10	10	10	45.168	46.9109	244.1	99.1898	118.393	6.1446	37.4514	22.4488	6.80738	0.6517377	8.272924	0.8909871
61	0	-3054.55	-2846.62	-207.93	0.000125652	0.000350269	0.000691837	0.000633508	0.3084964	3.39931	10.6249	2.35373	1.17976	10	10	10	10	10	10	10	10	10	10	130.41	52.7893	103.56	201.041	60.3896	18.2376	27.4115	173.892	10.268	0.6207325	8.272924	0.4969877
62	0	-3046.4	-2843.45	-202.951	0.000216458	0.000566934	0.000803568	0.000770415	0.2292251	1.62007	8.01528	1.04741	0.721475	10	10	10	10	10	10	10	10	10	10	48.3861	76.3603	101.366	89.1824	60.8339	161.021	19.1565	132.799	8.11618	0.4238953	8.272924	0.5407587
63	0	-3047.18	-2846.36	-200.816	0.000167683	0.00046044	0.000613205	0.000674273	0.0575987	1.57205	2.45998	0.666611	2.65213	10	10	10	10	10	10	10	10	10	10	92.4441	249.841	115.008	22.4737	88.1904	245.319	7.36089	440.676	8.013	0.1378902	8.272924	0.4177143
64	0	-3038.21	-2840.28	-197.929	0.000158146	0.000399246	0.000491154	0.000622502	0.1214083	3.41899	2.00063	1.68196	1.75863	10	10	10	10	10	10	10	10	10	10	271.939	117.028	171.525	33.5366	207.034	294.943	7.68585	284.497	9.08077	0.2285012	8.272924	0.5313246
65	0	-3052.49	-2840.44	-212.048	0.000146516	0.000347613	0.000434167	0.000599764	0.000516673	4.63709	2.18696	3.24883	1.86173	10	10	10	10	10	10	10	10	10	10	107.811	141.591	64.9522	26.326	201.248	72.7227	15.101	138.86	11.2544	0.001854575	8.272924	0.2785937
66	0	-3031.96	-2843.22	-188.736	0.000180296	0.000363932	0.000409182	0.000621148	0.11414	2.32769	2.23912	3.3538	0.852266	10	10	10	10	10	10	10	10	10	10	254.558	32.4319	67.8552	24.9818	163.863	159.585	4.90309	39.291	13.7678	0.2466454	8.272924	0.4627694
67	0	-3032.4	-2848.11	-184.293	0.000143575	0.000293286	0.000455734	0.000883158	0.1204351	3.33872	1.63202	1.99292	0.8581	10	10	10	10	10	10	10	10	10	10	100.958	73.8046	16.7212	41.5551	128.971	57.9077	1.82463	18.449	10.3008	0.2989073	8.272924	0.4029177
68	0	-3037.35	-2845.95	-191.395	0.000109736	0.000467356	0.000558238	0.000579863	0.05467049	2.59098	1.44855	1.46286	1.50613	10	10	10	10	10	10	10	10	10	10	177.873	159.939	49.9767	10.9799	44.2646	28.8707	3.86797	221.828	12.1008	0.1365017	8.272924	0.4005115
69	0	-3036.25	-2845.1	-191.145	0.000226017	0.000292578	0.000294189	0.000621042	0.1386484	1.81406	1.72944	1.15978	1.32615	10	10	10	10	10	10	10	10	10	10	63.6576	258.1	4.28354	39.1611	52.5338	115.972	4.55611	149.181	10.7996	0.2622243	8.272924	0.5287397
70	0	-3042.67	-2844.83	-197.84	0.000175677	0.000515499	0.000529223	0.000697661	0.09344489	1.79612	4.87868	1.40521	1.63407	10	10	10	10	10	10	10	10	10	10	37.891	94.9148	8.45129	26.7342	17.6404	488.595	4.55223	77.7345	11.1738	0.1577176	8.272924	0.5924822
71	0	-3028.31	-2847.49	-180.815	0.000120444	0.000452251	0.000502536	0.000838173	0.08978785	1.77054	3.80307	1.98018	1.25984	10	10	10	10	10	10	10	10	10	10	74.8062	114.519	12.6634	1.95546	31.9496	132.058	1.84281	33.9045	6.31059	0.1321753	8.272924	0.6793089
72	0	-3022.1	-2851.34	-170.759	0.000140764	0.000316455	0.000415362	0.000624476	0.02265637	1.11936	2.73464	1.91963	1.1519	10	10	10	10	10	10	10	10	10	10	41.1626	27.754	11.091	0.973908	72.4047	65.1958	0.534895	34.6331	8.99557	0.06163747	8.272924	0.3675746
73	0	-3031.76	-2839.27	-192.49	0.000188976	0.000570018	0.000421654	0.000798393	0.02274438	1.86974	2.10915	1.31286	1.39253	10	10	10	10	10	10	10	10	10	10	86.6359	63.6873	150.965	15.5256	10.4176	199.437	2.24608	196.592	10.3828	0.05899858	8.272924	0.3855072
74	0	-3037.23	-2840.12	-197.104	0.000230735	0.000565454	0.000385233	0.000950227	0.2872865	2.44742	2.03639	1.58551	1.76014	10	10	10	10	10	10	10	10	10	10	83.6368	44.6653	181.514	75.8298	11.9337	122.748	1.07199	228.051	14.5898	0.4559607	8.272924	0.6300686
75	0	-3040.81	-2838.75	-202.064	0.000125588	0.000389062	0.000715476	0.000785203	0.04466731	2.61944	2.33329	3.41156	1.89617	10	10	10	10	10	10	10	10	10	10	199.481	33.6888	84.1478	27.576	19.2395	25.1712	10.2604	161.062	7.985	0.0826089	8.272924	0.5407082
76	0	-3043.96	-2835.2	-208.764	0.00022228	0.000600975	0.000706525	0.000757086	0.07067774	2.93893	4.53492	2.6188	1.50365	10	10	10	10	10	10	10	10	10	10	572.903	91.7917	47.2458	6.05751	17.3333	38.5669	62.7258	48.9964	6.35103	0.1214913	8.272924	0.5817515
77	0	-3038.9	-2843.36	-195.534	0.000359095	0.000574794	0.000598758	0.0015606	0.4761315	1.98166	1.55716	2.79059	2.38697	10	10	10	10	10	10	10	10	10	10	180.117	85.5255	29.788	65.875	13.9225	32.5948	136.05	210.219	5.6613	0.5047771	8.272924	0.9432509
78	0	-3044.81	-2845.9	-198.912	0.000140067	0.000645512	0.000490513	0.00123032	0.2840073	1.48163	6.90923	3.5204	1.28846	10	10	10	10	10	10	10	10	10	10	26.5134	35.2585	101.887	7.45869	8.44878	54.712	29.9992	99.3087	13.7516	0.524812	8.272924	0.5411599
79	0	-3046.6	-2849.35	-197.257	0.000313516	0.000627914	0.000586897	0.000906508	0.05909182	2.4303	3.8401	2.98201	0.731263	10	10	10	10	10	10	10	10	10	10	133.221	8.22258	40.7144	16.2833	13.6664	79.5685	53.1185	134.076	6.40432	0.1104055	8.272924	0.5352252
80	0	-3043.68	-2841.11	-202.574	0.000149896	0.000375691	0.000753938	0.000839955	0.09542101	3.53689	3.9875	1.31575	1.64534	10	10	10	10	10	10	10	10	10	10	318.847	12.0561	109.195	32.4313	13.943	57.1741	29.5367	108.437	5.80033	0.214262	8.272924	0.4453473
81	0	-3053.93	-2842.99	-210.937	0.000227815	0.00043217	0.000440729	0.000669851	1.355522	5.32259	2.09573	1.36865	1.23233	10	10	10	10	10	10	10	10	10	10	83.8513	44.133	74.446	32.0616	13.5666	80.6703	196.69	456.796	11.0241	0.877523	8.272924	1.544714
